ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,rodata_x,partida_id,rodata_y,clube,atleta,minuto,tipo_de_gol,ano_civil,temporada,rodata_calculada,rodata_final,rodata_corrigida,temporada_corrigida
1,1.0,2003-03-29,16:00,Guarani,Vasco,,,,,Guarani, Brinco de Ouro,4,2,SP,RJ,,,,,,,,2003,2003,1.0,1.0,1.0,2003
2,1.0,2003-03-29,16:00,Atlético-PR,Grêmio,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,,,,,,,,2003,2003,1.0,1.0,1.0,2003
3,1.0,2003-03-30,16:00,Flamengo,Coritiba,,,,,-, Maracanã,1,1,RJ,PR,,,,,,,,2003,2003,1.0,1.0,1.0,2003
4,1.0,2003-03-30,16:00,Goiás,Paysandu,,,,,-, Serra Dourada,2,2,GO,PA,,,,,,,,2003,2003,1.0,1.0,1.0,2003
5,1.0,2003-03-30,16:00,Internacional,Ponte Preta,,,,,-, Beira Rio,1,1,RS,SP,,,,,,,,2003,2003,1.0,1.0,1.0,2003
6,1.0,2003-03-30,16:00,Criciúma,Fluminense,,,,,Criciuma, Heriberto Hulse,2,0,SC,RJ,,,,,,,,2003,2003,1.0,1.0,1.0,2003
7,1.0,2003-03-30,16:00,Juventude,São Paulo,,,,,-, Alfredo Jaconi,2,2,RS,SP,,,,,,,,2003,2003,1.0,1.0,1.0,2003
8,1.0,2003-03-30,16:00,Fortaleza,Bahia,,,,,-, Castelão,0,0,CE,BA,,,,,,,,2003,2003,1.0,1.0,1.0,2003
9,1.0,2003-03-30,16:00,Cruzeiro,São Caetano,,,,,-, Mineirão,2,2,MG,SP,,,,,,,,2003,2003,1.0,1.0,1.0,2003
10,1.0,2003-03-30,16:00,Vitória,Figueirense,,,,,-, Barradão,1,1,BA,SC,,,,,,,,2003,2003,1.0,1.0,1.0,2003
11,1.0,2003-03-30,18:00,Santos,Paraná,,,,,-, Vila Belmiro,2,2,SP,PR,,,,,,,,2003,2003,2.0,1.0,1.0,2003
12,1.0,2003-03-30,18:00,Corinthians,Atlético-MG,,,,,Atletico-MG, Pacaembu,0,3,SP,MG,,,,,,,,2003,2003,2.0,1.0,1.0,2003
13,2.0,2003-04-05,16:00,Fluminense,Fortaleza,,,,,-, Maracanã,1,1,RJ,CE,,,,,,,,2003,2003,2.0,2.0,2.0,2003
14,2.0,2003-04-05,16:00,Atlético-MG,Santos,,,,,-, Mineirão,0,0,MG,SP,,,,,,,,2003,2003,2.0,2.0,2.0,2003
15,2.0,2003-04-05,16:00,Coritiba,Internacional,,,,,Internacional, Couto Pereira,0,1,PR,RS,,,,,,,,2003,2003,2.0,2.0,2.0,2003
16,2.0,2003-04-05,18:00,Grêmio,Guarani,,,,,Gremio, Olímpico,3,1,RS,SP,,,,,,,,2003,2003,2.0,2.0,2.0,2003
17,2.0,2003-04-06,16:00,Bahia,Flamengo,,,,,Flamengo, Fonte Nova,1,2,BA,RJ,,,,,,,,2003,2003,3.0,2.0,2.0,2003
18,2.0,2003-04-06,16:00,Figueirense,Corinthians,,,,,-, Orlando Scarpelli,3,3,SC,SP,,,,,,,,2003,2003,3.0,2.0,2.0,2003
19,2.0,2003-04-06,16:00,Paysandu,Vitória,,,,,Vitoria, Mangueirão,1,2,PA,BA,,,,,,,,2003,2003,3.0,2.0,2.0,2003
20,2.0,2003-04-06,16:00,Ponte Preta,Juventude,,,,,Ponte Preta, Moisés Lucarelli,1,0,SP,RS,,,,,,,,2003,2003,3.0,2.0,2.0,2003
21,2.0,2003-04-06,16:00,Paraná,Atlético-PR,,,,,Parana, Pinheirão,3,0,PR,PR,,,,,,,,2003,2003,2.0,2.0,2.0,2003
22,2.0,2003-04-06,16:00,São Caetano,Criciúma,,,,,Sao Caetano, Anacleto Campanella,3,2,SP,SC,,,,,,,,2003,2003,2.0,2.0,2.0,2003
23,2.0,2003-04-06,18:00,São Paulo,Cruzeiro,,,,,Cruzeiro, Morumbi,2,4,SP,MG,,,,,,,,2003,2003,2.0,2.0,2.0,2003
24,2.0,2003-04-06,18:00,Vasco,Goiás,,,,,Vasco, São Januário,6,4,RJ,GO,,,,,,,,2003,2003,2.0,2.0,2.0,2003
