ID,arquivo,time
1,guarani.png,Guarani
2,athletico-paranaense-footballlogos-org.png,Athletico-PR
3,flamengo-crf-footballlogos-org.png,Flamengo
4,goias-footballlogos-org.png,Goias
5,sc-internacional-footballlogos-org.png,Internacional
7,juventude-footballlogos-org.png,Juventude
8,fortaleza-footballlogos-org.png,Fortaleza
9,cruzeiro-footballlogos-org.png,Cruzeiro
10,vitoria-footballlogos-org.png,Vitoria
11,santos-fc-footballlogos-org.png,Santos
12,corinthians-footballlogos-org.png,Corinthians
13,fluminense-footballlogos-org.png,Fluminense
14,atletico-mineiro-footballlogos-org.png,Atletico-MG
15,coritiba-footballlogos-org.png,Coritiba
16,gremio-footballlogos-org.png,Gremio
17,bahia-footballlogos-org.png,Bahia
18,figueirense.png,Figueirense
19,paysandu-footballlogos-org.png,Paysandu
20,ponte-preta.png,Ponte Preta
21,parana-clube-de-curitiba-pr-logo-png-transparent.png,Parana
22,Associação_Desportiva_São_Caetano.png,Sao Caetano
23,sao-paulo-spfc-footballlogos-org.png,Sao Paulo
24,vasco-de-gama-footballlogos-org.png,Vasco
25,botafogo-footballlogos-org.png,Botafogo-RJ
26,palmeiras-footballlogos-org.png,Palmeiras
27,Brasiliense_Futebol_Clube.png,Brasiliense
28,santa-cruz.png,Santa Cruz
29,América_RN.png,America-RN
30,sport-recife-footballlogos-org.png,Sport
31,nautico.png,Nautico
32,IpatingaFC.png,Ipatinga
33,Portuguesa_de_Desportos.png,Portuguesa
34,avai-fc-footballlogos-org.png,Avai
35,Santo_Andre_escudo.png,Santo Andre
36,barueri-logo-png_seeklogo-16817.png,Barueri
37,atletico-goianiense-footballlogos-org.png,Atletico-GO
38,ceara-fc-footballlogos-org.png,Ceara
39,Grêmio_Prudente2019.png,Gremio Prudente
40,america-mineiro-footballlogos-org.png,America-MG
41,chapecoense-footballlogos-org.png,Chapecoense
42,Joinville-SC.png,Joinville
43,csa.png,CSA
44,rb-bragantino-footballlogos-org.png,Bragantino
45,cuiaba-footballlogos-org.png,Cuiaba
