ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,rodata_x,partida_id,rodata_y,clube,atleta,minuto,tipo_de_gol
1,1.0,29/03/2003,16:00,Guarani,Vasco,,,,,Guarani, Brinco de Ouro,4,2,SP,RJ,,,,,,,
2,1.0,29/03/2003,16:00,Athletico-PR,Gremio,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,,,,,,,
3,1.0,30/03/2003,16:00,Flamengo,Coritiba,,,,,-, Maracanã,1,1,RJ,PR,,,,,,,
4,1.0,30/03/2003,16:00,Goias,Paysandu,,,,,-, Serra Dourada,2,2,GO,PA,,,,,,,
5,1.0,30/03/2003,16:00,Internacional,Ponte Preta,,,,,-, Beira Rio,1,1,RS,SP,,,,,,,
6,1.0,30/03/2003,16:00,Criciuma,Fluminense,,,,,Criciuma, Heriberto Hulse,2,0,SC,RJ,,,,,,,
7,1.0,30/03/2003,16:00,Juventude,Sao Paulo,,,,,-, Alfredo Jaconi,2,2,RS,SP,,,,,,,
8,1.0,30/03/2003,16:00,Fortaleza,Bahia,,,,,-, Castelão,0,0,CE,BA,,,,,,,
9,1.0,30/03/2003,16:00,Cruzeiro,Sao Caetano,,,,,-, Mineirão,2,2,MG,SP,,,,,,,
10,1.0,30/03/2003,16:00,Vitoria,Figueirense,,,,,-, Barradão,1,1,BA,SC,,,,,,,
11,1.0,30/03/2003,18:00,Santos,Parana,,,,,-, Vila Belmiro,2,2,SP,PR,,,,,,,
12,1.0,30/03/2003,18:00,Corinthians,Atletico-MG,,,,,Atletico-MG, Pacaembu,0,3,SP,MG,,,,,,,
13,2.0,05/04/2003,16:00,Fluminense,Fortaleza,,,,,-, Maracanã,1,1,RJ,CE,,,,,,,
14,2.0,05/04/2003,16:00,Atletico-MG,Santos,,,,,-, Mineirão,0,0,MG,SP,,,,,,,
15,2.0,05/04/2003,16:00,Coritiba,Internacional,,,,,Internacional, Couto Pereira,0,1,PR,RS,,,,,,,
16,2.0,05/04/2003,18:00,Gremio,Guarani,,,,,Gremio, Olímpico,3,1,RS,SP,,,,,,,
17,2.0,06/04/2003,16:00,Bahia,Flamengo,,,,,Flamengo, Fonte Nova,1,2,BA,RJ,,,,,,,
18,2.0,06/04/2003,16:00,Figueirense,Corinthians,,,,,-, Orlando Scarpelli,3,3,SC,SP,,,,,,,
19,2.0,06/04/2003,16:00,Paysandu,Vitoria,,,,,Vitoria, Mangueirão,1,2,PA,BA,,,,,,,
20,2.0,06/04/2003,16:00,Ponte Preta,Juventude,,,,,Ponte Preta, Moisés Lucarelli,1,0,SP,RS,,,,,,,
21,2.0,06/04/2003,16:00,Parana,Athletico-PR,,,,,Parana, Pinheirão,3,0,PR,PR,,,,,,,
22,2.0,06/04/2003,16:00,Sao Caetano,Criciuma,,,,,Sao Caetano, Anacleto Campanella,3,2,SP,SC,,,,,,,
23,2.0,06/04/2003,18:00,Sao Paulo,Cruzeiro,,,,,Cruzeiro, Morumbi,2,4,SP,MG,,,,,,,
24,2.0,06/04/2003,18:00,Vasco,Goias,,,,,Vasco, São Januário,6,4,RJ,GO,,,,,,,
25,4.0,09/04/2003,21:40,Paysandu,Santos,,,,,Paysandu, Mangueirão,2,1,PA,SP,,,,,,,
37,3.0,12/04/2003,16:00,Internacional,Bahia,,,,,Internacional, Beira Rio,2,0,RS,BA,,,,,,,
38,3.0,12/04/2003,16:00,Santos,Figueirense,,,,,Santos, Vila Belmiro,2,0,SP,SC,,,,,,,
39,3.0,12/04/2003,16:00,Athletico-PR,Atletico-MG,,,,,Atletico-MG, Arena da Baixada,1,2,PR,MG,,,,,,,
40,3.0,12/04/2003,18:00,Corinthians,Paysandu,,,,,Corinthians, Pacaembu,6,1,SP,PA,,,,,,,
41,3.0,13/04/2003,16:00,Vitoria,Vasco,,,,,Vitoria, Barradão,2,1,BA,RJ,,,,,,,
42,3.0,13/04/2003,16:00,Criciuma,Sao Paulo,,,,,-, Heriberto Hulse,1,1,SC,SP,,,,,,,
43,3.0,13/04/2003,16:00,Fortaleza,Sao Caetano,,,,,-, Presidente Vargas,1,1,CE,SP,,,,,,,
44,3.0,13/04/2003,16:00,Juventude,Coritiba,,,,,Juventude, Alfredo Jaconi,2,1,RS,PR,,,,,,,
45,3.0,13/04/2003,16:00,Guarani,Parana,,,,,Guarani, Brinco de Ouro,2,0,SP,PR,,,,,,,
46,3.0,13/04/2003,16:00,Goias,Gremio,,,,,-, Serra Dourada,1,1,GO,RS,,,,,,,
47,3.0,13/04/2003,18:00,Cruzeiro,Ponte Preta,,,,,Cruzeiro, Mineirão,3,0,MG,SP,,,,,,,
48,3.0,13/04/2003,18:00,Flamengo,Fluminense,,,,,Flamengo, Maracanã,4,1,RJ,RJ,,,,,,,
26,4.0,16/04/2003,20:30,Bahia,Juventude,,,,,Bahia, Fonte Nova,3,1,BA,RS,,,,,,,
27,4.0,16/04/2003,20:30,Gremio,Vitoria,,,,,Gremio, Olímpico,2,1,RS,BA,,,,,,,
28,4.0,16/04/2003,20:30,Atletico-MG,Guarani,,,,,Atletico-MG, Mineirão,3,2,MG,SP,,,,,,,
29,4.0,16/04/2003,20:30,Figueirense,Athletico-PR,,,,,-, Orlando Scarpelli,1,1,SC,PR,,,,,,,
30,4.0,16/04/2003,20:30,Ponte Preta,Criciuma,,,,,-, Moisés Lucarelli,1,1,SP,SC,,,,,,,
31,4.0,16/04/2003,21:40,Sao Caetano,Flamengo,,,,,-, Anacleto Campanella,1,1,SP,RJ,,,,,,,
32,4.0,16/04/2003,21:40,Vasco,Corinthians,,,,,-, São Januário,2,2,RJ,SP,,,,,,,
33,4.0,16/04/2003,21:40,Coritiba,Cruzeiro,,,,,Cruzeiro, Couto Pereira,3,4,PR,MG,,,,,,,
34,4.0,17/04/2003,20:30,Fluminense,Internacional,,,,,Fluminense, Maracanã,3,1,RJ,RS,,,,,,,
35,4.0,17/04/2003,20:30,Sao Paulo,Fortaleza,,,,,Sao Paulo, Morumbi,3,1,SP,CE,,,,,,,
36,4.0,17/04/2003,20:30,Parana,Goias,,,,,Parana, Pinheirão,3,1,PR,GO,,,,,,,
144,12.0,18/04/2003,20:30,Flamengo,Cruzeiro,,,,,Flamengo, Maracanã,3,0,RJ,MG,,,,,,,
49,5.0,19/04/2003,16:00,Bahia,Atletico-MG,,,,,Atletico-MG, Fonte Nova,2,4,BA,MG,,,,,,,
50,5.0,19/04/2003,16:00,Sao Caetano,Gremio,,,,,-, Anacleto Campanella,1,1,SP,RS,,,,,,,
51,5.0,19/04/2003,18:00,Flamengo,Santos,,,,,Santos, Maracanã,0,2,RJ,SP,,,,,,,
52,5.0,20/04/2003,16:00,Sao Paulo,Vasco,,,,,Sao Paulo, Morumbi,3,1,SP,RJ,,,,,,,
53,5.0,20/04/2003,16:00,Internacional,Corinthians,,,,,Internacional, Beira Rio,2,1,RS,SP,,,,,,,
54,5.0,20/04/2003,16:00,Criciuma,Guarani,,,,,Criciuma, Heriberto Hulse,1,0,SC,SP,,,,,,,
55,5.0,20/04/2003,16:00,Juventude,Vitoria,,,,,-, Alfredo Jaconi,1,1,RS,BA,,,,,,,
56,5.0,20/04/2003,16:00,Fortaleza,Athletico-PR,,,,,Fortaleza, Presidente Vargas,1,0,CE,PR,,,,,,,
57,5.0,20/04/2003,16:00,Ponte Preta,Paysandu,,,,,-, Moisés Lucarelli,4,4,SP,PA,,,,,,,
58,5.0,20/04/2003,18:00,Cruzeiro,Goias,,,,,Cruzeiro, Mineirão,4,1,MG,GO,,,,,,,
59,5.0,20/04/2003,18:00,Fluminense,Parana,,,,,-, Maracanã,0,0,RJ,PR,,,,,,,
60,5.0,21/04/2003,20:30,Coritiba,Figueirense,,,,,Coritiba, Couto Pereira,1,0,PR,SC,,,,,,,
61,6.0,26/04/2003,16:00,Atletico-MG,Coritiba,,,,,Coritiba, Mineirão,1,2,MG,PR,,,,,,,
62,6.0,26/04/2003,16:00,Parana,Bahia,,,,,Parana, Pinheirão,3,1,PR,BA,,,,,,,
63,6.0,26/04/2003,16:00,Vitoria,Internacional,,,,,Internacional, Barradão,0,3,BA,RS,,,,,,,
64,6.0,26/04/2003,18:00,Guarani,Cruzeiro,,,,,-, Brinco de Ouro,1,1,SP,MG,,,,,,,
65,6.0,27/04/2003,16:00,Corinthians,Flamengo,,,,,-, Pacaembu,1,1,SP,RJ,,,,,,,
66,6.0,27/04/2003,16:00,Goias,Juventude,,,,,Goias, Serra Dourada,7,0,GO,RS,,,,,,,
67,6.0,27/04/2003,16:00,Figueirense,Ponte Preta,,,,,-, Orlando Scarpelli,0,0,SC,SP,,,,,,,
68,6.0,27/04/2003,16:00,Santos,Fortaleza,,,,,Santos, Vila Belmiro,4,0,SP,CE,,,,,,,
69,6.0,27/04/2003,16:00,Gremio,Fluminense,,,,,Fluminense, Olímpico,0,1,RS,RJ,,,,,,,
70,6.0,27/04/2003,16:00,Athletico-PR,Criciuma,,,,,Athletico-PR, Arena da Baixada,5,2,PR,SC,,,,,,,
71,6.0,27/04/2003,18:00,Paysandu,Sao Paulo,,,,,Paysandu, Mangueirão,5,2,PA,SP,,,,,,,
72,6.0,27/04/2003,18:00,Vasco,Sao Caetano,,,,,Vasco, São Januário,1,0,RJ,SP,,,,,,,
73,7.0,03/05/2003,16:00,Flamengo,Vitoria,,,,,Flamengo, Maracanã,2,1,RJ,BA,,,,,,,
74,7.0,03/05/2003,16:00,Bahia,Gremio,,,,,Bahia, Fonte Nova,2,1,BA,RS,,,,,,,
75,7.0,03/05/2003,18:00,Cruzeiro,Athletico-PR,,,,,Cruzeiro, Mineirão,5,2,MG,PR,,,,,,,
76,7.0,04/05/2003,16:00,Fortaleza,Corinthians,,,,,Corinthians, Castelão,1,2,CE,SP,,,,,,,
77,7.0,04/05/2003,16:00,Sao Paulo,Figueirense,,,,,Sao Paulo, Morumbi,3,2,SP,SC,,,,,,,
78,7.0,04/05/2003,16:00,Sao Caetano,Paysandu,,,,,Sao Caetano, Anacleto Campanella,2,0,SP,PA,,,,,,,
79,7.0,04/05/2003,16:00,Internacional,Goias,,,,,Internacional, Beira Rio,2,1,RS,GO,,,,,,,
80,7.0,04/05/2003,16:00,Ponte Preta,Atletico-MG,,,,,Ponte Preta, Moisés Lucarelli,2,1,SP,MG,,,,,,,
81,7.0,04/05/2003,16:00,Juventude,Guarani,,,,,-, Alfredo Jaconi,1,1,RS,SP,,,,,,,
82,7.0,04/05/2003,16:00,Coritiba,Parana,,,,,Coritiba, Couto Pereira,2,1,PR,PR,,,,,,,
83,7.0,04/05/2003,18:00,Criciuma,Santos,,,,,Santos, Heriberto Hulse,1,3,SC,SP,,,,,,,
84,7.0,04/05/2003,18:00,Fluminense,Vasco,,,,,-, Maracanã,0,0,RJ,RJ,,,,,,,
85,8.0,10/05/2003,16:00,Goias,Flamengo,,,,,-, Serra Dourada,1,1,GO,RJ,,,,,,,
86,8.0,10/05/2003,16:00,Santos,Cruzeiro,,,,,Cruzeiro, Vila Belmiro,0,2,SP,MG,,,,,,,
87,8.0,10/05/2003,16:00,Parana,Ponte Preta,,,,,Parana, Pinheirão,3,2,PR,SP,,,,,,,
88,8.0,10/05/2003,18:00,Corinthians,Criciuma,,,,,Corinthians, Pacaembu,3,0,SP,SC,,,,,,,
89,8.0,11/05/2003,16:00,Vasco,Bahia,,,,,-, São Januário,1,1,RJ,BA,,,,,,,
90,8.0,11/05/2003,16:00,Paysandu,Fluminense,,,,,-, Mangueirão,2,2,PA,RJ,,,,,,,
91,8.0,11/05/2003,16:00,Atletico-MG,Sao Paulo,,,,,-, Mineirão,2,2,MG,SP,,,,,,,
92,8.0,11/05/2003,16:00,Vitoria,Fortaleza,,,,,Vitoria, Barradão,2,1,BA,CE,,,,,,,
93,8.0,11/05/2003,16:00,Guarani,Internacional,,,,,Guarani, Brinco de Ouro,3,0,SP,RS,,,,,,,
94,8.0,11/05/2003,16:00,Athletico-PR,Juventude,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,,,,,,,
95,8.0,11/05/2003,16:00,Figueirense,Sao Caetano,,,,,Figueirense, Orlando Scarpelli,3,0,SC,SP,,,,,,,
96,8.0,11/05/2003,18:00,Gremio,Coritiba,,,,,Gremio, Olímpico,1,0,RS,PR,,,,,,,
97,9.0,17/05/2003,16:00,Fluminense,Figueirense,,,,,Fluminense, Maracanã,3,0,RJ,SC,,,,,,,
98,9.0,17/05/2003,16:00,Sao Caetano,Atletico-MG,,,,,Sao Caetano, Anacleto Campanella,2,0,SP,MG,,,,,,,
99,9.0,17/05/2003,18:00,Juventude,Santos,,,,,-, Alfredo Jaconi,1,1,RS,SP,,,,,,,
100,9.0,18/05/2003,16:00,Bahia,Paysandu,,,,,Bahia, Fonte Nova,2,0,BA,PA,,,,,,,
101,9.0,18/05/2003,16:00,Internacional,Athletico-PR,,,,,-, Beira Rio,1,1,RS,PR,,,,,,,
102,9.0,18/05/2003,16:00,Coritiba,Vasco,,,,,-, Couto Pereira,1,1,PR,RJ,,,,,,,
103,9.0,18/05/2003,16:00,Cruzeiro,Corinthians,,,,,-, Mineirão,1,1,MG,SP,,,,,,,
104,9.0,18/05/2003,16:00,Fortaleza,Goias,,,,,Fortaleza, Castelão,1,0,CE,GO,,,,,,,
105,9.0,18/05/2003,16:00,Ponte Preta,Gremio,,,,,Ponte Preta, Moisés Lucarelli,2,1,SP,RS,,,,,,,
106,9.0,18/05/2003,16:00,Criciuma,Vitoria,,,,,-, Heriberto Hulse,1,1,SC,BA,,,,,,,
107,9.0,18/05/2003,18:00,Flamengo,Guarani,,,,,-, Maracanã,1,1,RJ,SP,,,,,,,
108,9.0,18/05/2003,18:00,Sao Paulo,Parana,,,,,Sao Paulo, Morumbi,2,0,SP,PR,,,,,,,
109,10.0,24/05/2003,16:00,Atletico-MG,Fluminense,,,,,Atletico-MG,  Independência,3,0,MG,RJ,,,,,,,
110,10.0,24/05/2003,16:00,Parana,Sao Caetano,,,,,-, Pinheirão,1,1,PR,SP,,,,,,,
111,10.0,24/05/2003,16:00,Corinthians,Juventude,,,,,Corinthians, Pacaembu,3,0,SP,RS,,,,,,,
112,10.0,24/05/2003,18:00,Vasco,Ponte Preta,,,,,Vasco, São Januário,1,0,RJ,SP,,,,,,,
113,10.0,25/05/2003,16:00,Athletico-PR,Flamengo,,,,,Athletico-PR, Arena da Baixada,4,1,PR,RJ,,,,,,,
114,10.0,25/05/2003,16:00,Paysandu,Coritiba,,,,,Coritiba, Mangueirão,1,3,PA,PR,,,,,,,
115,10.0,25/05/2003,16:00,Goias,Criciuma,,,,,Criciuma, Serra Dourada,0,2,GO,SC,,,,,,,
116,10.0,25/05/2003,16:00,Gremio,Sao Paulo,,,,,Sao Paulo, Olímpico,1,2,RS,SP,,,,,,,
117,10.0,25/05/2003,16:00,Guarani,Fortaleza,,,,,Guarani, Brinco de Ouro,2,1,SP,CE,,,,,,,
118,10.0,25/05/2003,16:00,Figueirense,Bahia,,,,,Figueirense, Orlando Scarpelli,1,0,SC,BA,,,,,,,
119,10.0,25/05/2003,18:00,Vitoria,Cruzeiro,,,,,Vitoria, Barradão,2,1,BA,MG,,,,,,,
120,10.0,25/05/2003,18:00,Santos,Internacional,,,,,Santos, Vila Belmiro,2,1,SP,RS,,,,,,,
121,11.0,31/05/2003,16:00,Fluminense,Athletico-PR,,,,,Fluminense,  Édson Passos,2,1,RJ,PR,,,,,,,
122,11.0,31/05/2003,16:00,Cruzeiro,Criciuma,,,,,Cruzeiro, Mineirão,2,0,MG,SC,,,,,,,
123,11.0,31/05/2003,16:00,Coritiba,Guarani,,,,,Coritiba, Couto Pereira,3,2,PR,SP,,,,,,,
124,11.0,31/05/2003,16:00,Ponte Preta,Sao Caetano,,,,,-, Moisés Lucarelli,0,0,SP,SP,,,,,,,
125,11.0,31/05/2003,18:00,Internacional,Paysandu,,,,,Internacional, Beira Rio,2,1,RS,PA,,,,,,,
126,11.0,01/06/2003,16:00,Parana,Flamengo,,,,,Parana, Pinheirão,6,2,PR,RJ,,,,,,,
127,11.0,01/06/2003,16:00,Bahia,Goias,,,,,Bahia, Fonte Nova,2,1,BA,GO,,,,,,,
128,11.0,01/06/2003,16:00,Fortaleza,Juventude,,,,,Fortaleza, Castelão,3,1,CE,RS,,,,,,,
129,11.0,01/06/2003,16:00,Figueirense,Gremio,,,,,Figueirense, Orlando Scarpelli,2,1,SC,RS,,,,,,,
130,11.0,01/06/2003,16:00,Santos,Sao Paulo,,,,,Santos, Vila Belmiro,3,2,SP,SP,,,,,,,
131,11.0,01/06/2003,18:00,Corinthians,Vitoria,,,,,Corinthians, Pacaembu,4,0,SP,BA,,,,,,,
132,11.0,01/06/2003,18:00,Vasco,Atletico-MG,,,,,-, São Januário,2,2,RJ,MG,,,,,,,
133,12.0,07/06/2003,16:00,Vitoria,Fluminense,,,,,Vitoria, Barradão,2,1,BA,RJ,,,,,,,
134,12.0,07/06/2003,16:00,Guarani,Santos,,,,,Santos, Brinco de Ouro,1,2,SP,SP,,,,,,,
135,12.0,07/06/2003,16:00,Gremio,Fortaleza,,,,,Gremio, Olímpico,3,1,RS,CE,,,,,,,
136,12.0,07/06/2003,18:00,Atletico-MG,Figueirense,,,,,-,  Independência,1,1,MG,SC,,,,,,,
137,12.0,08/06/2003,16:00,Paysandu,Parana,,,,,Paysandu, Mangueirão,3,0,PA,PR,,,,,,,
138,12.0,08/06/2003,16:00,Juventude,Vasco,,,,,-, Alfredo Jaconi,0,0,RS,RJ,,,,,,,
139,12.0,08/06/2003,16:00,Athletico-PR,Ponte Preta,,,,,Athletico-PR, Arena da Baixada,4,2,PR,SP,,,,,,,
140,12.0,08/06/2003,16:00,Goias,Coritiba,,,,,Coritiba, Serra Dourada,1,2,GO,PR,,,,,,,
141,12.0,08/06/2003,16:00,Sao Caetano,Corinthians,,,,,Sao Caetano, Anacleto Campanella,1,0,SP,SP,,,,,,,
142,12.0,08/06/2003,18:00,Criciuma,Internacional,,,,,Criciuma, Heriberto Hulse,1,0,SC,RS,,,,,,,
143,12.0,08/06/2003,18:00,Sao Paulo,Bahia,,,,,-, Morumbi,2,2,SP,BA,,,,,,,
145,13.0,14/06/2003,16:00,Fluminense,Goias,,,,,Goias, Maracanã,2,3,RJ,GO,,,,,,,
146,13.0,14/06/2003,16:00,Ponte Preta,Guarani,,,,,Guarani, Moisés Lucarelli,0,2,SP,SP,,,,,,,
147,13.0,14/06/2003,18:00,Coritiba,Athletico-PR,,,,,Coritiba, Couto Pereira,2,0,PR,PR,,,,,,,
148,13.0,15/06/2003,16:00,Corinthians,Sao Paulo,,,,,Sao Paulo, Morumbi,1,2,SP,SP,,,,,,,
149,13.0,15/06/2003,16:00,Fortaleza,Paysandu,,,,,Paysandu, Presidente Vargas,1,2,CE,PA,,,,,,,
150,13.0,15/06/2003,16:00,Parana,Juventude,,,,,Juventude, Pinheirão,1,2,PR,RS,,,,,,,
151,13.0,15/06/2003,16:00,Gremio,Internacional,,,,,-, Olímpico,0,0,RS,RS,,,,,,,
152,13.0,15/06/2003,16:00,Santos,Sao Caetano,,,,,Sao Caetano, Vila Belmiro,0,1,SP,SP,,,,,,,
153,13.0,15/06/2003,16:00,Criciuma,Figueirense,,,,,Criciuma, Heriberto Hulse,1,0,SC,SC,,,,,,,
154,13.0,15/06/2003,16:00,Bahia,Vitoria,,,,,Bahia, Fonte Nova,2,1,BA,BA,,,,,,,
155,13.0,15/06/2003,18:00,Vasco,Flamengo,,,,,Flamengo, Maracanã,1,2,RJ,RJ,,,,,,,
156,13.0,15/06/2003,18:00,Cruzeiro,Atletico-MG,,,,,-, Mineirão,0,0,MG,MG,,,,,,,
157,14.0,19/06/2003,16:00,Bahia,Coritiba,,,,,-, Fonte Nova,2,2,BA,PR,,,,,,,
158,14.0,21/06/2003,16:00,Vasco,Criciuma,,,,,Vasco, São Januário,2,0,RJ,SC,,,,,,,
159,14.0,21/06/2003,16:00,Atletico-MG,Gremio,,,,,Atletico-MG, Mineirão,3,2,MG,RS,,,,,,,
160,14.0,21/06/2003,16:00,Internacional,Parana,,,,,Internacional, Beira Rio,2,1,RS,PR,,,,,,,
161,14.0,21/06/2003,18:00,Sao Paulo,Goias,,,,,Sao Paulo, Morumbi,1,0,SP,GO,,,,,,,
162,14.0,22/06/2003,16:00,Paysandu,Flamengo,,,,,-, Mangueirão,2,2,PA,RJ,,,,,,,
163,14.0,22/06/2003,16:00,Ponte Preta,Corinthians,,,,,-, Moisés Lucarelli,3,3,SP,SP,,,,,,,
164,14.0,22/06/2003,16:00,Sao Caetano,Vitoria,,,,,Sao Caetano, Anacleto Campanella,2,1,SP,BA,,,,,,,
165,14.0,22/06/2003,16:00,Figueirense,Fortaleza,,,,,-, Orlando Scarpelli,2,2,SC,CE,,,,,,,
166,14.0,22/06/2003,18:00,Juventude,Cruzeiro,,,,,Cruzeiro, Alfredo Jaconi,0,1,RS,MG,,,,,,,
167,14.0,22/06/2003,18:00,Fluminense,Guarani,,,,,Fluminense, Maracanã,5,2,RJ,SP,,,,,,,
168,15.0,28/06/2003,16:00,Fortaleza,Vasco,,,,,Vasco, Castelão,0,1,CE,RJ,,,,,,,
169,15.0,28/06/2003,16:00,Coritiba,Sao Caetano,,,,,Coritiba, Couto Pereira,2,0,PR,SP,,,,,,,
170,15.0,28/06/2003,16:00,Gremio,Juventude,,,,,Juventude, Olímpico,1,4,RS,RS,,,,,,,
171,15.0,28/06/2003,16:00,Santos,Bahia,,,,,Santos, Vila Belmiro,4,0,SP,BA,,,,,,,
172,15.0,28/06/2003,18:00,Flamengo,Figueirense,,,,,Figueirense, Maracanã,0,2,RJ,SC,,,,,,,
173,15.0,29/06/2003,16:00,Corinthians,Fluminense,,,,,Corinthians, Pacaembu,1,0,SP,RJ,,,,,,,
174,15.0,29/06/2003,16:00,Guarani,Sao Paulo,,,,,Sao Paulo, Brinco de Ouro,0,1,SP,SP,,,,,,,
175,15.0,29/06/2003,16:00,Criciuma,Paysandu,,,,,Criciuma, Heriberto Hulse,2,0,SC,PA,,,,,,,
176,15.0,29/06/2003,16:00,Vitoria,Athletico-PR,,,,,Vitoria, Barradão,1,0,BA,PR,,,,,,,
177,15.0,29/06/2003,18:00,Cruzeiro,Internacional,,,,,Cruzeiro, Mineirão,3,2,MG,RS,,,,,,,
178,15.0,29/06/2003,18:00,Parana,Atletico-MG,,,,,-, Pinheirão,1,1,PR,MG,,,,,,,
181,16.0,05/07/2003,16:00,Vasco,Parana,,,,,Parana, São Januário,1,4,RJ,PR,,,,,,,
182,16.0,05/07/2003,16:00,Sao Paulo,Sao Caetano,,,,,-, Morumbi,1,1,SP,SP,,,,,,,
183,16.0,05/07/2003,16:00,Figueirense,Cruzeiro,,,,,Figueirense, Orlando Scarpelli,1,0,SC,MG,,,,,,,
