ID,arquivo,time,cor,bordaCor
1,guarani.png,Guarani,"rgba(0,100,0,0.6)","rgba(0,100,0,1)"
2,athletico-paranaense-footballlogos-org.png,Atlético-PR,"rgba(180,0,0,0.6)","rgba(180,0,0,1)"
3,flamengo-crf-footballlogos-org.png,Flamengo,"rgba(200,0,0,0.6)","rgba(200,0,0,1)"
4,goias-footballlogos-org.png,Goiás,"rgba(0,130,0,0.6)","rgba(0,130,0,1)"
5,sc-internacional-footballlogos-org.png,Internacional,"rgba(210,0,0,0.6)","rgba(210,0,0,1)"
6,criciuma.png,Criciúma,"rgba(255,200,0,0.6)","rgba(255,200,0,1)"
7,juventude-footballlogos-org.png,Juventude,"rgba(0,120,0,0.6)","rgba(0,120,0,1)"
8,fortaleza-footballlogos-org.png,Fortaleza,"rgba(0,70,180,0.6)","rgba(0,70,180,1)"
9,cruzeiro-footballlogos-org.png,Cruzeiro,"rgba(0,80,200,0.6)","rgba(0,80,200,1)"
10,vitoria-footballlogos-org.png,Vitória,"rgba(190,0,0,0.6)","rgba(190,0,0,1)"
11,santos-fc-footballlogos-org.png,Santos,"rgba(20,20,20,0.6)","rgba(20,20,20,1)"
12,corinthians-footballlogos-org.png,Corinthians,"rgba(30,30,30,0.6)","rgba(30,30,30,1)"
13,fluminense-footballlogos-org.png,Fluminense,"rgba(0,110,70,0.6)","rgba(0,110,70,1)"
14,atletico-mineiro-footballlogos-org.png,Atlético-MG,"rgba(15,15,15,0.6)","rgba(15,15,15,1)"
15,coritiba-footballlogos-org.png,Coritiba,"rgba(0,140,0,0.6)","rgba(0,140,0,1)"
16,gremio-footballlogos-org.png,Grêmio,"rgba(0,90,170,0.6)","rgba(0,90,170,1)"
17,bahia-footballlogos-org.png,Bahia,"rgba(100,180,255,0.6)","rgba(100,180,255,1)"
18,figueirense.png,Figueirense,"rgba(25,25,25,0.6)","rgba(25,25,25,1)"
19,paysandu-footballlogos-org.png,Paysandu,"rgba(0,120,200,0.6)","rgba(0,120,200,1)"
20,ponte-preta.png,Ponte Preta,"rgba(10,10,10,0.6)","rgba(10,10,10,1)"
21,parana-clube-de-curitiba-pr-logo-png-transparent.png,Paraná,"rgba(170,0,0,0.6)","rgba(170,0,0,1)"
22,Associação_Desportiva_São_Caetano.png,São Caetano,"rgba(0,100,200,0.6)","rgba(0,100,200,1)"
23,sao-paulo-spfc-footballlogos-org.png,São Paulo,"rgba(240,240,240,0.6)","rgba(240,240,240,1)"
24,vasco-de-gama-footballlogos-org.png,Vasco,"rgba(15,15,15,0.6)","rgba(15,15,15,1)"
25,botafogo-footballlogos-org.png,Botafogo-RJ,"rgba(5,5,5,0.6)","rgba(5,5,5,1)"
26,palmeiras-footballlogos-org.png,Palmeiras,"rgba(0,110,0,0.6)","rgba(0,110,0,1)"
27,Brasiliense_Futebol_Clube.png,Brasiliense,"rgba(255,215,0,0.6)","rgba(255,215,0,1)"
28,santa-cruz.png,Santa Cruz,"rgba(180,0,0,0.6)","rgba(180,0,0,1)"
29,América_RN.png,America-RN,"rgba(200,0,0,0.6)","rgba(200,0,0,1)"
30,sport-recife-footballlogos-org.png,Sport,"rgba(190,0,0,0.6)","rgba(190,0,0,1)"
31,nautico.png,Náutico,"rgba(200,0,0,0.6)","rgba(200,0,0,1)"
32,IpatingaFC.png,Ipatinga,"rgba(0,130,0,0.6)","rgba(0,130,0,1)"
33,Portuguesa_de_Desportos.png,Portuguesa,"rgba(200,0,0,0.6)","rgba(200,0,0,1)"
34,avai-fc-footballlogos-org.png,Avaí,"rgba(0,90,180,0.6)","rgba(0,90,180,1)"
35,Santo_Andre_escudo.png,Santo Andre,"rgba(0,110,190,0.6)","rgba(0,110,190,1)"
36,barueri-logo-png_seeklogo-16817.png,Barueri,"rgba(0,120,200,0.6)","rgba(0,120,200,1)"
37,atletico-goianiense-footballlogos-org.png,Atlético-GO,"rgba(200,0,0,0.6)","rgba(200,0,0,1)"
38,ceara-fc-footballlogos-org.png,Ceará,"rgba(10,10,10,0.6)","rgba(10,10,10,1)"
39,Grêmio_Prudente2019.png,Grêmio Prudente,"rgba(0,100,180,0.6)","rgba(0,100,180,1)"
40,america-mineiro-footballlogos-org.png,America-MG,"rgba(0,140,0,0.6)","rgba(0,140,0,1)"
41,chapecoense-footballlogos-org.png,Chapecoense,"rgba(0,120,0,0.6)","rgba(0,120,0,1)"
42,Joinville-SC.png,Joinville,"rgba(180,0,0,0.6)","rgba(180,0,0,1)"
43,csa.png,CSA,"rgba(0,120,200,0.6)","rgba(0,120,200,1)"
44,rb-bragantino-footballlogos-org.png,Bragantino,"rgba(220,0,0,0.6)","rgba(220,0,0,1)"
45,cuiaba-footballlogos-org.png,Cuiaba,"rgba(0,140,0,0.6)","rgba(0,140,0,1)"
